country,population,yearly_change,net_change,density_per_square_km,land_are_in_square_km,migrants_net,fertility_rate,median_age,urban_population,world_share
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
China,1439323776,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1380004385,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States,331002651,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,273523615,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,220892340,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212559417,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206139589,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164689383,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russia,145934462,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,128932753,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
